,batchno,day,dish,fname,Mean82,FLAG
0,#13,34,/Day34/#13/#13_0.3-1,../data/x4///Day34/#13/#13_0.3-1/1_XY02_00135_CH4.tif,17.0,0
1,#13,34,/Day34/#13/#13_0.3-1,../data/x4///Day34/#13/#13_0.3-1/1_XY02_00147_CH4.tif,17.0,0
2,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00106_CH4.tif,18.5,0
3,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00120_CH4.tif,18.5,0
4,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00121_CH4.tif,18.5,0
5,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00092_CH4.tif,18.5,0
6,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00107_CH4.tif,18.5,0
7,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00117_CH4.tif,18.5,0
8,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00090_CH4.tif,18.5,0
9,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00133_CH4.tif,18.5,0
10,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00105_CH4.tif,18.5,0
11,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00148_CH4.tif,18.5,0
12,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00104_CH4.tif,18.5,0
13,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00091_CH4.tif,18.5,0
14,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00132_CH4.tif,18.5,0
15,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00108_CH4.tif,18.5,0
16,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00118_CH4.tif,18.5,0
17,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00136_CH4.tif,18.5,0
18,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00119_CH4.tif,18.5,0
19,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00134_CH4.tif,18.5,0
20,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00146_CH4.tif,18.5,0
21,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00135_CH4.tif,18.5,0
22,#13,34,/Day34/#13/#13_0.5-2,../data/x4///Day34/#13/#13_0.5-2/1_XY06_00147_CH4.tif,18.5,0
23,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00107_CH4.tif,12.0,0
24,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00117_CH4.tif,12.0,0
25,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00121_CH4.tif,12.0,0
26,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00120_CH4.tif,12.0,0
27,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00106_CH4.tif,12.0,0
28,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00091_CH4.tif,12.0,0
29,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00132_CH4.tif,12.0,0
30,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00104_CH4.tif,12.0,0
31,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00148_CH4.tif,12.0,0
32,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00105_CH4.tif,12.0,0
33,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00090_CH4.tif,12.0,0
34,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00133_CH4.tif,12.0,0
35,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00119_CH4.tif,12.0,0
36,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00136_CH4.tif,12.0,0
37,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00108_CH4.tif,12.0,0
38,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00118_CH4.tif,12.0,0
39,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00135_CH4.tif,12.0,0
40,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00147_CH4.tif,12.0,0
41,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00134_CH4.tif,12.0,0
42,#11,20,/Day20/#11/#11_0.5A,../data/x4///Day20/#11/#11_0.5A/1_XY01_00146_CH4.tif,12.0,0
43,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00106_CH4.tif,20.5,0
44,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00120_CH4.tif,20.5,0
45,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00121_CH4.tif,20.5,0
