実験番号id,撮影日付,ラウンド数,培養開始後経過日数(Day xx),撮影方法,撮影機器名,x 倍率,固定の有無,フォルダ名,Day82 Myf5,FLAG
40,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_0.5A,9,1
41,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_1A,5.9,1
42,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_2A,13,0
43,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_0.5B,8.4,1
44,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_1B,11.6,0
45,2021/03/22,#8,38,phase,KEYence 第四世代,4,無,/Day38/#8/#8_2B,11.2,0
47,2021/03/29,#9,38,phase,KEYence 第四世代,4,無,/Day38/#9/#9_1A,9.7,1
48,2021/03/29,#9,38,phase,KEYence 第四世代,4,無,/Day38/#9/#9_2A,26.7,0
50,2021/03/29,#9,38,phase,KEYence 第四世代,4,無,/Day38/#9/#9_1B,14.7,0
51,2021/03/29,#9,38,phase,KEYence 第四世代,4,無,/Day38/#9/#9_2B,17.2,0
52,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_0.5A,14.8,0
53,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_1A,22.7,0
54,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_2A,12.5,0
55,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_0.5B,25.3,0
56,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_1B,23.6,0
57,2021/04/05,#10,38,phase,KEYence 第四世代,4,無,/Day38/#10/#10_2B,17.9,0
58,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_0.5A,12,0
59,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_1A,20.5,0
60,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_2A,15.9,0
61,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_0.5B,18.7,0
